Dataset,Epochs,Batch Size,D_Model,D_Type,Learning Rate,Train loss,Val Loss,Test Loss,Val RMSE,Test RMSE,Last Val RMSE,Last Test RMSE,LengthScale,Alpha,l,s,Softmax,Time2Vec,
power_hawkes,20,1,128,32,0.001,3.0250625610351562,2.9779012203216553,3.04642391204834,7.044519424438477,6.716062545776367,5.699679374694824,5.925535678863525,0.7726538777351379,1,2.592843770980835,1,False,True,1
power_hawkes,20,1,128,32,0.001,3.0233771800994873,2.974745035171509,3.0436999797821045,7.064004898071289,6.7380194664001465,5.689472675323486,5.914648056030273,0.7726538777351379,1,2.592843770980835,1,True,True,1
sin_hawkes,20,1,128,32,0.0001,2.7656502723693848,2.785280466079712,2.796178102493286,5.4803619384765625,4.819038391113281,4.749831676483154,4.757772445678711,0.7726538777351379,1,2.592843770980835,1,True,True,1
sin_hawkes_2,10,1,128,32,0.001,3.733114242553711,3.6092143058776855,3.697445869445801,16.320816040039062,14.026711463928223,9.144991874694824,9.34739875793457,0.22138091921806335,1,1.211199402809143,1,False,False,1
sin_hawkes_2,10,40,128,32,0.001,3.992185354232788,3.832798719406128,3.9286327362060547,16.927499771118164,14.598074913024902,9.503340721130371,9.70198917388916,0.7726538777351379,1,2.592843770980835,1,False,True,1
power_hawkes,10,1,128,32,0.001,2.9929609298706055,2.959453582763672,3.026329517364502,7.071525573730469,6.7291975021362305,5.71342658996582,5.937619686126709,0.22138091921806335,1,1.211199402809143,1,False,False,1
power_hawkes,10,40,128,32,0.001,3.026202917098999,2.9770140647888184,3.045217275619507,7.080867290496826,6.747829437255859,5.714197635650635,5.93962287902832,0.7726538777351379,1,2.592843770980835,1,False,True,1
sin_hawkes_2,10,1,128,32,0.001,3.758481979370117,3.6285274028778076,3.7191162109375,16.41879653930664,14.090078353881836,9.140775680541992,9.339695930480957,0.22138091921806335,1,1.211199402809143,1,True,False,1
sin_hawkes_2,10,40,128,32,0.001,3.9759883880615234,3.8187010288238525,3.920161247253418,16.911996841430664,14.570701599121094,9.472514152526855,9.675148963928223,0.7726538777351379,1,2.592843770980835,1,True,True,1
power_hawkes,10,1,128,32,0.001,2.992175340652466,2.9641897678375244,3.03226637840271,7.1638641357421875,6.828026294708252,5.725465774536133,5.9562153816223145,0.22138091921806335,1,1.211199402809143,1,True,False,1
power_hawkes,10,40,128,32,0.001,3.02349591255188,2.97414231300354,3.0426442623138428,7.077947616577148,6.749824047088623,5.700512886047363,5.925034046173096,0.7726538777351379,1,2.592843770980835,1,True,True,1
